"","X","Course.taken","Quarter","Grade.earned","numericalgrade","Last.quarter.of.attendance","Drop.date","Concurrent.GPA","Concurrent.credits.registered.for","Concurrent.credits.earned","COMPASS.Reading","COMPASS.Number.Skills","COMPASS.Elem.Alg","COMPASS.College.Alg","COMPASS.Trig","MAPS.score","FID"
"12516",12516,"MATH097","B012","2.8",2.8,"B012","",2.8,5,5,NA,NA,"50",NA,"",NA,5375
"12517",12517,"MATH&107","B342","3.5",3.5,"B344","",3.5,12,12,97,NA,"81",62,"",NA,4232
"12518",12518,"MATH097","B012","0",0,"B013","10/11/2010",0,5,0,NA,NA,"28",NA,"",NA,8408
"12519",12519,"MATH072","B012","1",1,"B124","",1.45,15,10,87,NA,"32",NA,"",NA,5385
"12520",12520,"MATH072","B014","0",0,"B124","4/27/2011",0.91,11,6,87,NA,"32",NA,"",NA,5385
"12521",12521,"MATH072","B122","0",0,"B124","9/19/2011",1.77,15,10,87,NA,"32",NA,"",NA,5385
"12522",12522,"MATH072","B124","0",0,"B124","4/2/2012",0.03,15,0,87,NA,"32",NA,"",NA,5385
"12523",12523,"MATH&107","B234","2.4",2.4,"B341","",3.03,15,15,99,NA,"",NA,"",NA,3460
"12524",12524,"MATH097","B233","2.5",2.5,"B341","",2.83,15,15,99,NA,"",NA,"",NA,3460
"12525",12525,"MATH&141","B122","3.6",3.6,"B124","",3.87,15,15,89,NA,"",59,"",NA,10040
"12526",12526,"MATH&151","B011","2.3",2.3,"B011","",2.3,5,5,NA,NA,"",NA,"",NA,11459
"12527",12527,"MATH&141","B012","3.6",3.6,"B233","",3.83,15,15,94,NA,"57",NA,"",NA,5417
"12528",12528,"MATH&107","B122","3.8",3.8,"B343","",3.5,10,10,95,NA,"79",38,"",NA,3277
"12529",12529,"MATH&141","B012","0",0,"B231","12/3/2010",2.25,12,7,98,NA,"30",NA,"",NA,3570
"12530",12530,"MATH&141","B122","0.7",0.7,"B231","",2.63,15,15,98,NA,"30",NA,"",NA,3570
"12531",12531,"MATH072","B012","4",4,"B234","",3.85,20,20,89,NA,"32",NA,"",NA,3192
"12532",12532,"MATH097","B013","4",4,"B234","",3.39,18,18,89,NA,"32",NA,"",NA,3192
"12533",12533,"MATH147","B014","3.3",3.3,"B234","",3.6,15,15,89,NA,"32",NA,"",NA,3192
