"","X","Course.taken","Quarter","Grade.earned","numericalgrade","Last.quarter.of.attendance","Drop.date","Concurrent.GPA","Concurrent.credits.registered.for","Concurrent.credits.earned","COMPASS.Reading","COMPASS.Number.Skills","COMPASS.Elem.Alg","COMPASS.College.Alg","COMPASS.Trig","MAPS.score","FID","success1.0","success2.0","success2.5","forcednumericalgrade"
"5413",5413,"MATH072","B013","3.7",3.7,"B122","",3.7,10,10,96,79,"16",NA,"",NA,12555,TRUE,TRUE,TRUE,3.7
"5414",5414,"MATH&107","B234","0",0,"B342","5/25/2013",0.18,17,2,95,NA,"55",NA,"",NA,11889,FALSE,FALSE,FALSE,0
"5415",5415,"MATH&141","B124","1.6",1.6,"B342","",2.65,17,17,95,NA,"55",NA,"",NA,11889,TRUE,FALSE,FALSE,1.6
"5416",5416,"MATH&107","B013","3.7",3.7,"B013","",3.89,14,14,99,NA,"48",NA,"",399,2183,TRUE,TRUE,TRUE,3.7
"5417",5417,"MATH&141","B012","2.1",2.1,"B121","",2.07,15,15,65,31,"18",NA,"",NA,168,TRUE,TRUE,FALSE,2.1
"5418",5418,"MATH070","B014","3.7",3.7,"B124","",3.6,15,15,95,56,"18",NA,"",NA,4720,TRUE,TRUE,TRUE,3.7
"5419",5419,"MATH072","B121","3.4",3.4,"B124","",3.2,10,10,95,56,"18",NA,"",NA,4720,TRUE,TRUE,TRUE,3.4
"5420",5420,"MATH097","B122","2.6",2.6,"B124","",3.17,15,15,95,56,"18",NA,"",NA,4720,TRUE,TRUE,TRUE,2.6
"5421",5421,"MATH&151","B012","1.3",1.3,"B123","",1.14,16,16,90,NA,"",80,"51",NA,1100,TRUE,FALSE,FALSE,1.3
"5422",5422,"MATH&151","B013","2.5",2.5,"B123","",2.73,13,13,90,NA,"",80,"51",NA,1100,TRUE,TRUE,TRUE,2.5
"5423",5423,"MATH&107","B011","0",0,"B123","7/9/2010",0,15,0,76,NA,"42",NA,"",NA,191,FALSE,FALSE,FALSE,0
"5424",5424,"MATH&107","B123","3",3,"B123","",3.75,15,15,76,NA,"42",NA,"",NA,191,TRUE,TRUE,TRUE,3
"5425",5425,"MATH072","B012","2.6",2.6,"B012","",3.2,10,10,95,89,"21",NA,"",NA,2136,TRUE,TRUE,TRUE,2.6
"5426",5426,"MATH&141","B011","2.4",2.4,"B232","",2.62,12,12,98,NA,"36",NA,"",NA,603,TRUE,TRUE,FALSE,2.4
"5427",5427,"MATH072","B011","0",0,"B014","7/12/2010",1.9,15,10,85,NA,"43",NA,"",NA,1649,FALSE,FALSE,FALSE,0
"5428",5428,"MATH072","B013","0.1",0.1,"B014","",1.55,15,10,85,NA,"43",NA,"",NA,1649,FALSE,FALSE,FALSE,0.1
"5429",5429,"MATH072","B011","2.8",2.8,"B011","",2.8,5,5,87,47,"25",NA,"",NA,6017,TRUE,TRUE,TRUE,2.8
"5430",5430,"MATH&141","B232","3.5",3.5,"B343","",2.83,12,12,93,NA,"69",NA,"",NA,12194,TRUE,TRUE,TRUE,3.5
"5431",5431,"MATH&151","B012","0.3",0.3,"B343","",1.15,10,5,93,NA,"69",NA,"",NA,12194,FALSE,FALSE,FALSE,0.3
"5432",5432,"MATH&142","B341","3.8",3.8,"B341","",3.8,5,5,91,NA,"38",NA,"",NA,10038,TRUE,TRUE,TRUE,3.8
"5433",5433,"MATH072","B231","2.7",2.7,"B232","",3.19,8,8,90,99,"33",NA,"",NA,4655,TRUE,TRUE,TRUE,2.7
"5434",5434,"MATH070","B012","W",NA,"B234","10/26/2010",1.6,17,7,48,19,"18",NA,"",NA,2031,FALSE,FALSE,FALSE,-0.1
"5435",5435,"MATH&141","B232","3.6",3.6,"B344","",3.6,15,15,89,NA,"97",68,"",NA,4732,TRUE,TRUE,TRUE,3.6
"5436",5436,"MATH&142","B233","3",3,"B344","",2.73,15,15,89,NA,"97",68,"",NA,4732,TRUE,TRUE,TRUE,3
"5437",5437,"MATH&151","B342","3.2",3.2,"B344","",3.22,16,16,89,NA,"97",68,"",NA,4732,TRUE,TRUE,TRUE,3.2
"5438",5438,"MATH062","B233","2.3",2.3,"B342","",1.15,10,5,84,29,"48",NA,"",NA,12595,TRUE,TRUE,FALSE,2.3
"5439",5439,"MATH070","B234","2.7",2.7,"B342","",2.7,15,15,84,29,"48",NA,"",NA,12595,TRUE,TRUE,TRUE,2.7
"5440",5440,"MATH097","B011","1.8",1.8,"B124","",0.77,15,5,78,75,"26",NA,"",NA,7221,TRUE,FALSE,FALSE,1.8
"5441",5441,"MATH097","B014","0",0,"B124","",0,7,0,78,75,"26",NA,"",NA,7221,FALSE,FALSE,FALSE,0
"5442",5442,"MATH097","B122","3.6",3.6,"B124","",2.15,12,12,78,75,"26",NA,"",NA,7221,TRUE,TRUE,TRUE,3.6
"5443",5443,"MATH062","B014","3.6",3.6,"B344","",3.27,15,15,97,31,"",NA,"",NA,9421,TRUE,TRUE,TRUE,3.6
